Front,Back,Category
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Breakfast is served from 7 AM to 10 AM.,朝食は午前7時から10時までです。,Hotel Facilities
The elevator is over there.,エレベーターはあちらです。,Hotel Facilities
Free Wi-Fi is available in all rooms.,全客室で無料Wi-Fiをご利用いただけます。,Hotel Facilities
The gym is on the second floor.,ジムは2階にございます。,Hotel Facilities
The swimming pool is open until 9 PM.,プールは午後9時まで営業しています。,Hotel Facilities
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Where is the nearest station?,最寄り駅はどこですか？,Directions & Transport
The nearest convenience store is a 5-minute walk.,一番近いコンビニは徒歩5分です。,Directions & Transport
You can take a bus from here to the airport.,ここから空港行きのバスをご利用いただけます。,Directions & Transport
Would you like me to call a taxi for you?,タクシーをお呼びしましょうか？,Directions & Transport
"The station is straight ahead, then turn left.",駅はまっすぐ進んで左に曲がったところです。,Directions & Transport
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
Can I get an extra towel?,タオルを追加できますか？,Requests
Could I have another blanket?,毛布をもう一枚いただけますか？,Requests
Can I change my room?,部屋を変えていただけますか？,Requests
Could you bring some water to my room?,お部屋にお水を持ってきていただけますか？,Requests
I would like a wake-up call at 7 AM.,午前7時にモーニングコールをお願いしたいのですが。,Requests
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
The air conditioner isn’t working.,エアコンが動きません。,Problems & Solutions
There is no hot water.,お湯が出ません。,Problems & Solutions
I lost my room key.,部屋の鍵をなくしました。,Problems & Solutions
I’m sorry for the inconvenience. We will fix it right away.,ご不便をおかけして申し訳ございません。すぐに対応いたします。,Problems & Solutions
We will send staff to your room immediately.,すぐにスタッフをお部屋へ伺わせます。,Problems & Solutions
"Good morning, this is the front desk.",おはようございます、フロントでございます。,Phone Handling
How may I help you?,どのようなご用件でしょうか？,Phone Handling
I will transfer your call.,お電話をおつなぎいたします。,Phone Handling
May I take a message?,伝言をお預かりいたしましょうか？,Phone Handling
Please hold for a moment.,少々お待ちください。,Phone Handling
"Good morning, this is the front desk.",おはようございます、フロントでございます。,Phone Handling
How may I help you?,どのようなご用件でしょうか？,Phone Handling
I will transfer your call.,お電話をおつなぎいたします。,Phone Handling
May I take a message?,伝言をお預かりいたしましょうか？,Phone Handling
Please hold for a moment.,少々お待ちください。,Phone Handling
"Good morning, this is the front desk.",おはようございます、フロントでございます。,Phone Handling
How may I help you?,どのようなご用件でしょうか？,Phone Handling
I will transfer your call.,お電話をおつなぎいたします。,Phone Handling
May I take a message?,伝言をお預かりいたしましょうか？,Phone Handling
Please hold for a moment.,少々お待ちください。,Phone Handling
"Good morning, this is the front desk.",おはようございます、フロントでございます。,Phone Handling
How may I help you?,どのようなご用件でしょうか？,Phone Handling
I will transfer your call.,お電話をおつなぎいたします。,Phone Handling
May I take a message?,伝言をお預かりいたしましょうか？,Phone Handling
Please hold for a moment.,少々お待ちください。,Phone Handling
"Good morning, this is the front desk.",おはようございます、フロントでございます。,Phone Handling
How may I help you?,どのようなご用件でしょうか？,Phone Handling
I will transfer your call.,お電話をおつなぎいたします。,Phone Handling
May I take a message?,伝言をお預かりいたしましょうか？,Phone Handling
Please hold for a moment.,少々お待ちください。,Phone Handling
"In case of emergency, please use the stairs.",緊急時は階段をご利用ください。,Emergency
Please remain calm and follow the staff’s instructions.,落ち着いてスタッフの指示に従ってください。,Emergency
Call 119 for an ambulance or fire.,救急車や消防車は119におかけください。,Emergency
The emergency exit is over there.,非常口はあちらです。,Emergency
We will guide you to a safe area.,安全な場所までご案内いたします。,Emergency
"In case of emergency, please use the stairs.",緊急時は階段をご利用ください。,Emergency
Please remain calm and follow the staff’s instructions.,落ち着いてスタッフの指示に従ってください。,Emergency
Call 119 for an ambulance or fire.,救急車や消防車は119におかけください。,Emergency
The emergency exit is over there.,非常口はあちらです。,Emergency
We will guide you to a safe area.,安全な場所までご案内いたします。,Emergency
"In case of emergency, please use the stairs.",緊急時は階段をご利用ください。,Emergency
Please remain calm and follow the staff’s instructions.,落ち着いてスタッフの指示に従ってください。,Emergency
Call 119 for an ambulance or fire.,救急車や消防車は119におかけください。,Emergency
The emergency exit is over there.,非常口はあちらです。,Emergency
We will guide you to a safe area.,安全な場所までご案内いたします。,Emergency
"In case of emergency, please use the stairs.",緊急時は階段をご利用ください。,Emergency
Please remain calm and follow the staff’s instructions.,落ち着いてスタッフの指示に従ってください。,Emergency
Call 119 for an ambulance or fire.,救急車や消防車は119におかけください。,Emergency
The emergency exit is over there.,非常口はあちらです。,Emergency
We will guide you to a safe area.,安全な場所までご案内いたします。,Emergency
How was your trip?,ご旅行はいかがでしたか？,Small Talk
Where are you visiting from?,どちらからお越しですか？,Small Talk
Is this your first time in Japan?,日本は初めてですか？,Small Talk
I hope you enjoy your stay.,ご滞在をお楽しみください。,Small Talk
Have a great day!,良い一日をお過ごしください。,Small Talk
How was your trip?,ご旅行はいかがでしたか？,Small Talk
Where are you visiting from?,どちらからお越しですか？,Small Talk
Is this your first time in Japan?,日本は初めてですか？,Small Talk
I hope you enjoy your stay.,ご滞在をお楽しみください。,Small Talk
Have a great day!,良い一日をお過ごしください。,Small Talk
How was your trip?,ご旅行はいかがでしたか？,Small Talk
Where are you visiting from?,どちらからお越しですか？,Small Talk
Is this your first time in Japan?,日本は初めてですか？,Small Talk
I hope you enjoy your stay.,ご滞在をお楽しみください。,Small Talk
Have a great day!,良い一日をお過ごしください。,Small Talk
How was your trip?,ご旅行はいかがでしたか？,Small Talk
Where are you visiting from?,どちらからお越しですか？,Small Talk
Is this your first time in Japan?,日本は初めてですか？,Small Talk
I hope you enjoy your stay.,ご滞在をお楽しみください。,Small Talk
Have a great day!,良い一日をお過ごしください。,Small Talk
